Código do Termo;Termo;Data de início de vigência;Data de fim de vigência;Data de fim de implementação
201115;Geneticista;26/09/2008;;26/09/2008
203015;Pesquisador em biologia de microorganismos e parasitas;26/09/2008;;26/09/2008
213150;Físico médico;26/09/2008;;26/09/2008
221105;Biólogo;26/09/2008;;26/09/2008
223204;Cirurgião dentista - auditor;26/09/2008;;26/09/2008
223208;Cirurgião dentista - clínico geral;26/09/2008;;26/09/2008
223212;Cirurgião dentista - endodontista;26/09/2008;;26/09/2008
223216;Cirurgião dentista - epidemiologista;26/09/2008;;26/09/2008
223220;Cirurgião dentista - estomatologista;26/09/2008;;26/09/2008
223224;Cirurgião dentista - implantodontista;26/09/2008;;26/09/2008
223228;Cirurgião dentista - odontogeriatra;26/09/2008;;26/09/2008
223232;Cirurgião dentista - odontologista legal;26/09/2008;;26/09/2008
223236;Cirurgião dentista - odontopediatra;26/09/2008;;26/09/2008
223240;Cirurgião dentista - ortopedista e ortodontista;26/09/2008;;26/09/2008
223244;Cirurgião dentista - patologista bucal;26/09/2008;;26/09/2008
223248;Cirurgião dentista - periodontista;26/09/2008;;26/09/2008
223252;Cirurgião dentista - protesiólogo bucomaxilofacial;26/09/2008;;26/09/2008
223256;Cirurgião dentista - protesista;26/09/2008;;26/09/2008
223260;Cirurgião dentista - radiologista;26/09/2008;;26/09/2008
223264;Cirurgião dentista - reabilitador oral;26/09/2008;;26/09/2008
223268;Cirurgião dentista - traumatologista bucomaxilofacial;26/09/2008;;26/09/2008
223272;Cirurgião dentista de saúde coletiva;26/09/2008;;26/09/2008
223276;Cirurgião dentista - odontologia do trabalho;01/12/2013;;31/08/2014
223280;Cirurgião dentista - dentística;01/12/2013;;31/08/2014
223284;Cirurgião dentista - disfunção temporomandibular e dor orofacial;01/12/2013;;31/08/2014
223288;Cirurgião dentista - odontologia para pacientes com necessidades especiais;01/12/2013;;31/08/2014
223293;Cirurgião-dentista da estratégia de saúde da família;01/12/2013;;31/08/2014
223505;Enfermeiro;26/09/2008;;26/09/2008
223605;Fisioterapeuta geral;26/09/2008;;26/09/2008
223625;Fisioterapeuta respiratória;01/05/2016;;31/07/2016
223630;Fisioterapeuta neurofuncional;01/05/2016;;31/07/2016
223635;Fisioterapeuta traumato-ortopédica funcional;01/05/2016;;31/07/2016
223640;Fisioterapeuta osteopata;01/05/2016;;31/07/2016
223645;Fisioterapeuta quiropraxista;01/05/2016;;31/07/2016
223650;Fisioterapeuta acupunturista;01/05/2016;;31/07/2016
223655;Fisioterapeuta esportivo;01/05/2016;;31/07/2016
223660;Fisioterapeuta do trabalho;01/05/2016;;31/07/2016
223710;Nutricionista;26/09/2008;;26/09/2008
223810;Fonoaudiólogo;26/09/2008;;26/09/2008
223905;Terapeuta ocupacional;10/10/2012;;31/08/2014
223910;Ortoptista;10/10/2012;;31/08/2014
225103;Médico infectologista;10/10/2012;;31/08/2014
225105;Médico acupunturista;10/10/2012;;31/08/2014
225106;Médico legista;10/10/2012;;31/08/2014
225109;Médico Nefrologista;10/10/2012;;31/08/2014
225110;Médico alergista e imunologista;10/10/2012;;31/08/2014
225112;Médico neurologista;10/10/2012;;31/08/2014
225115;Médico angiologista;10/10/2012;;31/08/2014
225118;Médico nutrologista;10/10/2012;;31/08/2014
225120;Médico cardiologista;10/10/2012;;31/08/2014
225121;Médico oncologista clínico;01/12/2013;;31/08/2014
225122;Médico cancerologista pediátrico;01/12/2013;;31/08/2014
225124;Médico pediatra;10/10/2012;;31/08/2014
