Código do Termo;Termo;;;;;;;;;;
111220;Secretário - executivo;;;;;;;;;;
123105;Diretor administrativo;;;;;;;;;;
123110;Diretor administrativo e financeiro;;;;;;;;;;
123115;Diretor financeiro;;;;;;;;;;
123205;Diretor de recursos humanos;;;;;;;;;;
123305;Diretor comercial;;;;;;;;;;
123310;Diretor de marketing;;;;;;;;;;
123405;Diretor de suprimentos;;;;;;;;;;
123705;Diretor de pesquisa e desenvolvimento (p&d);;;;;;;;;;
142105;Gerente administrativo;;;;;;;;;;
142110;Gerente de riscos;;;;;;;;;;
142115;Gerente financeiro;;;;;;;;;;
142205;Gerente de recursos humanos;;;;;;;;;;
142210;Gerente de departamento pessoal;;;;;;;;;;
142305;Gerente comercial;;;;;;;;;;
142315;Gerente de marketing;;;;;;;;;;
142320;Gerente de vendas;;;;;;;;;;
142405;Gerente de compras;;;;;;;;;;
142410;Gerente de suprimentos;;;;;;;;;;
142415;Gerente de almoxarifado;;;;;;;;;;
142510;Gerente de desenvolvimento de sistemas;;;;;;;;;;
142520;Gerente de projetos de tecnologia da informação;;;;;;;;;;
142605;Gerente de pesquisa e desenvolvimento (p&d);;;;;;;;;;
203005;Pesquisador em Biologia Ambiental;;;;;;;;;;
203010;Pesquisador em Biologia Animal;;;;;;;;;;
203015;Pesquisador em biologia de Microorganismos e parasitas;;;;;;;;;;
203020;Pesquisador em Biologia Humana;;;;;;;;;;
203525;Pesquisador em Psicologia;;;;;;;;;;
212305;Administrador de banco de dados;;;;;;;;;;
212315;Administrador de sistemas operacionais;;;;;;;;;;
212420;Analista de suporte computacional;;;;;;;;;;
214205;Engenheiro civil;;;;;;;;;;
214260;Engenheiro civil (saneamento);;;;;;;;;;
234445;Professor de Nutrição;;;;;;;;;;
234455;Professor de Terapia Ocupacional;;;;;;;;;;
239410;Orientador Educacional;;;;;;;;;;
239415;Pedagogo;;;;;;;;;;
241005;Advogado;;;;;;;;;;
241010;Advogado de empresa;;;;;;;;;;
251610;Economista doméstico;;;;;;;;;;
252105;Administrador;;;;;;;;;;
252205;Auditor (contadores e afins);;;;;;;;;;
252210;Contador;;;;;;;;;;
254410;Fiscal de tributos municipal;;;;;;;;;;
261305;Arquivista;;;;;;;;;;
263105;Ministro de Culto Religioso;;;;;;;;;;
317205;Operador de computador;;;;;;;;;;
322235;Auxiliar de Enfermagem do Trabalho;;;;;;;;;;
331110;Auxiliar de Desenvolvimento Infantil;;;;;;;;;;
333110;Instrutor de Cursos Livres;;;;;;;;;;
352205;Agente de defesa ambiental;;;;;;;;;;
354205;Comprador;;;;;;;;;;
354210;Supervisor de compras;;;;;;;;;;
371410;Recreador;;;;;;;;;;
