CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quantidade por Ocupações de Nível Superior e Tipo de Estabelecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Período:Jan/2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ocupações de Nível Superior;ACADEMIA DA SAÚDE;CENTRAL DE REGUALAÇÃO;CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS;CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF;CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA;CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS;CENTRO DE PARTO NORMAL;CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE;CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA;CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO;CONSULTORIO;COOPERATIVA;FARMACIA;HOSPITAL ESPECIALIZADO;HOSPITAL GERAL;HOSPITAL DIA;LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN;LABORATORIO DE SAUDE PUBLICA;POLICLINICA;OFICINA ORTOPEDICA;POSTO DE SAUDE;PRONTO ANTEDIMENTO;PRONTO SOCORRO ESPECIALIZADO;PRONTO SOCORRO GERAL;SECRETARIA DE SAUDE;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA;UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA;UNIDADE DE VIGILANCIA EM SAUDE;UNIDADE MISTA;UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI;UNIDADE MOVEL FLUVIAL;UNIDADE MOVEL TERRESTRE;TELESAÚDE;Total
ANESTESISTA;-;5;-;-;2;-;-;5;21;261;225;1435;-;1783;10149;212;-;-;70;-;1;1;109;32;14;4;-;-;55;1;34;6;-;2;-;14427
Médico Anestesiologista;-;5;-;-;2;-;-;5;21;261;225;1435;-;1783;10149;212;-;-;70;-;1;1;109;32;14;4;-;-;55;1;34;6;-;2;-;14427
ASSISTENTE SOCIAL;38;275;8;698;210;3384;1;7101;49;4527;455;16;26;2256;8176;147;1;16;1181;1;280;1288;141;218;1371;73;99;35;366;84;211;3;4;22;3;32764
Assistente Social;38;275;8;698;210;3384;1;7101;49;4527;455;16;26;2256;8176;147;1;16;1181;1;280;1288;141;218;1371;73;99;35;366;84;211;3;4;22;3;32764
BIOQUÍMICO/FARMACÊUTICO;1;25;41;225;168;742;1;5986;29;1387;171;24;4203;1944;10998;205;29;115;794;-;203;1266;115;213;2017;91;95;1;1241;362;206;34;3;13;3;32951
Farmacêutico;1;25;41;225;168;742;1;5986;29;1387;171;24;4203;1944;10998;205;29;115;794;-;203;1266;115;213;2017;91;95;1;1241;362;206;34;3;13;3;32951
CIRURGIÃO GERAL;-;21;24;-;-;-;-;26;30;348;356;288;-;589;7338;74;-;-;240;-;2;124;74;99;12;13;1;-;41;1;28;9;-;1;-;9739
Médico Cirurgião Geral;-;21;24;-;-;-;-;26;30;348;356;288;-;589;7338;74;-;-;240;-;2;124;74;99;12;13;1;-;41;1;28;9;-;1;-;9739
CLÍNICO GERAL;-;884;1283;20;215;605;6;10254;61;4995;5890;1515;29;3115;57584;303;1;7;4602;-;591;11605;722;2467;1077;227;184;5;798;71;1600;1818;9;149;25;112717
Médico Clínico;-;878;1270;20;214;602;6;9664;61;4955;5859;1497;29;3106;57108;297;1;7;4578;-;571;11555;722;2451;1054;217;174;5;781;70;1599;1812;9;146;25;111343
