Ocupações Administrativas,ACADEMIA DA SAÚDE,CENTRAL DE REGUALAÇÃO,CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS,CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF,CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA,CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS,CENTRO DE PARTO NORMAL,CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE,CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA,CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO,CONSULTORIO,COOPERATIVA,FARMACIA,HOSPITAL ESPECIALIZADO,HOSPITAL GERAL,HOSPITAL DIA,LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN,LABORATORIO DE SAUDE PUBLICA,POLICLINICA,OFICINA ORTOPEDICA,POSTO DE SAUDE,PRONTO ANTEDIMENTO,PRONTO SOCORRO ESPECIALIZADO,PRONTO SOCORRO GERAL,SECRETARIA DE SAUDE,SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE),UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA,UNIDADE DE ATENCAO EM REGIME RESIDENCIAL,UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA,UNIDADE DE VIGILANCIA EM SAUDE,UNIDADE MISTA,UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI,UNIDADE MOVEL FLUVIAL,UNIDADE MOVEL TERRESTRE,TELESAÚDE,Total
ADMINISTRAÇÃO,222,6330,3615,179,1121,5750,38,55994,275,29549,7362,401,2748,17869,108335,3533,140,741,13090,13,3015,10293,846,3029,41951,541,428,71,17605,3120,2095,699,17,359,94,341468
..Administrador,13,111,7,1,27,79,2,599,6,1112,331,31,53,197,1319,32,7,13,283,2,55,76,7,18,1133,35,21,8,424,64,26,24,1,16,2,6135
..Administrador de banco de dados,-,9,-,-,-,2,-,16,-,1,1,-,-,13,29,-,-,-,2,-,4,-,-,2,93,-,-,-,2,1,2,-,-,-,2,179
..Administrador de sistemas operacionais,-,54,-,-,10,5,-,117,-,26,-,1,-,17,98,1,-,-,14,-,8,1,1,1,499,1,-,-,7,5,15,-,-,-,-,881
..Advogado,-,8,2,-,4,2,-,18,-,62,21,3,3,33,158,-,-,3,12,-,-,1,-,2,128,1,-,3,23,10,-,-,-,-,1,498
..Advogado de empresa,-,1,-,-,-,-,-,-,-,5,1,-,-,2,19,-,-,-,2,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,34
..Almoxarife,-,1,6,-,8,2,-,63,1,148,-,2,61,181,1596,24,-,-,38,-,7,110,5,25,196,5,4,-,73,4,16,3,-,-,-,2579
..Analista de redes e de comunicacao de dado,-,-,-,-,4,1,-,1,-,9,-,-,-,8,92,4,-,1,3,-,-,1,-,1,13,1,-,-,9,-,-,-,-,-,2,150
..Analista de suporte computacional,-,15,-,-,2,-,-,5,-,27,2,3,1,58,275,13,1,-,22,-,1,7,-,4,52,1,1,-,17,2,3,-,1,-,9,522
..Analista financeiro instituicoes financeir,-,-,-,-,-,-,-,-,-,28,1,1,-,21,147,11,-,-,9,-,-,4,1,-,8,4,-,-,12,-,-,-,-,-,-,247
