MEDICARE SPECIALTY CODE;MEDICARE PROVIDER/SUPPLIER TYPE DESCRIPTION;PROVIDER TAXONOMY CODE;PROVIDER TAXONOMY DESCRIPTION;;;;
1;Physician/General Practice;208D00000X;Allopathic & Osteopathic Physicians/General Practice;;;;
2;Physician/General Surgery;208600000X;Allopathic & Osteopathic Physicians/Surgery;;;;
;;2086H0002X;Allopathic & Osteopathic Physicians/Surgery/Hospice and Palliative Medicine;;;;
;;2086S0120X;Allopathic & Osteopathic Physicians/Surgery/Pediatric Surgery;;;;
;;2086S0122X;Allopathic & Osteopathic Physicians/Surgery/Plastic and Reconstructive Surgery;;;;
;;2086S0105X;Allopathic & Osteopathic Physicians/Surgery/Surgery of the Hand;;;;
;;2086S0102X;Allopathic & Osteopathic Physicians/Surgery/Surgical Critical Care;;;;
;;2086X0206X;Allopathic & Osteopathic Physicians/Surgery/Surgical Oncology;;;;
;;2086S0127X;Allopathic & Osteopathic Physicians/Surgery/Trauma Surgery;;;;
;;2086S0129X;Allopathic & Osteopathic Physicians/Surgery/Vascular Surgery;;;;
;;208G00000X;Allopathic & Osteopathic Physicians/Thoracic Surgery (Cardiothoracic Vascular Surgery);;;;
;;204F00000X;Allopathic & Osteopathic Physicians/Transplant Surgery;;;;
;;208C00000X;Allopathic & Osteopathic Physicians/Colon & Rectal Surgery;;;;
;;207T00000X;Allopathic & Osteopathic Physicians/Neurological Surgery;;;;
;;204E00000X;Allopathic & Osteopathic Physicians/Oral & Maxillofacial Surgery;;;;
;;207X00000X;Allopathic & Osteopathic Physicians/Orthopedic Surgery;;;;
;;207XS0114X;Allopathic & Osteopathic Physicians/Orthopedic Surgery/Adult Reconstructive Orthopedic Surgery;;;;
;;207XX0004X;Allopathic & Osteopathic Physicians/Orthopedic Surgery/Foot and Ankle Surgery;;;;
;;207XS0106X;Allopathic & Osteopathic Physicians/Orthopedic Surgery/Hand Surgery;;;;
;;207XS0117X;Allopathic & Osteopathic Physicians/Orthopedic Surgery/Orthopedic Surgery of the Spine;;;;
;;207XX0801X;Allopathic & Osteopathic Physicians/Orthopedic Surgery/Orthopedic Trauma;;;;
;;207XP3100X;Allopathic & Osteopathic Physicians/Orthopedic Surgery/Pediatric Orthopedic Surgery;;;;
;;207XX0005X;Allopathic & Osteopathic Physicians/Orthopedic Surgery/Sports Medicine;;;;
;;208200000X;Allopathic & Osteopathic Physicians/Plastic Surgery;;;;
;;2082S0099X;Allopathic & Osteopathic Physicians/Plastic Surgery/Plastic Surgery Within the Head & Neck;;;;
;;2082S0105X;Allopathic & Osteopathic Physicians/Plastic Surgery/Surgery of the Hand;;;;
3;Physician/Allergy/ Immunology;207K00000X;Allopathic & Osteopathic Physicians/Allergy and Immunology;;;;
;;207KA0200X;Allopathic & Osteopathic Physicians/Allergy and Immunology/Allergy;;;;
;;207KI0005X;Allopathic & Osteopathic Physicians/Allergy and Immunology/Clinical & Laboratory Immunology;;;;
4;Physician/Otolaryngology;207Y00000X;Allopathic & Osteopathic Physicians/ Otolaryngology;;;;
;;207YS0123X;Allopathic & Osteopathic Physicians/ Otolaryngology/Facial Plastic Surgery;;;;
;;207YX0602X;Allopathic & Osteopathic Physicians/Otolaryngology/Otolaryngic Allergy;;;;
;;207YX0905X;Allopathic & Osteopathic Physicians/Otolaryngology/Otolaryngology/Facial Plastic Surgery;;;;
;;207YX0901X;Allopathic & Osteopathic Physicians/Otolaryngology/Otology &Neurotology;;;;
;;207YP0228X;Allopathic & Osteopathic Physicians/Otolaryngology/Pediatric Otolaryngology;;;;
;;207YX0007X;Allopathic & Osteopathic Physicians/Otolaryngology/Plastic Surgery within the Head & Neck;;;;
;;207YS0012X;Allopathic & Osteopathic Physicians/Otolaryngology/Sleep Medicine;;;;
5;Physician/Anesthesiology;207L00000X;Allopathic & Osteopathic Physicians/Anesthesiology;;;;
;;207LA0401X;Allopathic & Osteopathic Physicians/Anesthesiology/Addiction Medicine;;;;
;;207LC0200X;Allopathic & Osteopathic Physicians/Anesthesiology/Critical Care Medicine;;;;
;;207LH0002X;Allopathic & Osteopathic Physicians/Anesthesiology/Hospice and Palliative Medicine;;;;
;;207LP2900X;Allopathic & Osteopathic Physicians/Anesthesiology/Pain Medicine;;;;
;;207LP3000X;Allopathic & Osteopathic Physicians/Anesthesiology/Pediatric Anesthesiology;;;;
