run_id,policySize,policy,len_c0,len_c1,len_c2,len_c3,len_c0_encoded,len_c1_encoded,len_c2_encoded,len_c3_encoded
4,1,Mlg8jÛB_éxJÊû3ÁWâGõYgBõáJ,122,122,122,122,164,164,164,164
9,1,rfbÁÁ2Z1SÛ,122,122,122,122,164,164,164,164
8,1,N9m2ÉYHkÇãÉ4TLYêÚputtHégÉW,122,122,122,122,164,164,164,164
7,1,9vÁ4X8ú4héTiMÕVÃ,122,122,122,122,164,164,164,164
5,1,êúyãAHEKoe22Ruh,122,122,122,122,164,164,164,164
2,1,ugEJS_p4mI1vK9A7nêTmp4ÊUdtãq,122,122,122,122,164,164,164,164
1,1,F5j5yÂ8uXGogGFiYiat,122,122,122,122,164,164,164,164
3,1,PlÚ9fÇêDrbuUqE,122,122,122,122,164,164,164,164
0,1,uOÃgCNiey,122,122,122,122,164,164,164,164
6,1,EÁfAÂxAaÃqÚãTT7VfT,122,122,122,122,164,164,164,164
15,2,and ktWTbÛUIVufMébúÕAzYKiPUx ktWTbÛUIVufMébúÕAzYKiPUx,122,244,244,244,164,329,329,329
16,2,and NMQkcZxLKçFÇHnûBGUf1ê7zzÃsRA1 3MRzr5fÛ124IfJPOÊPvÉK5UÚûxvû,122,244,244,244,164,329,329,329
14,2,and WFAÊoP0mNLsk d0ÉGQáItRJaeqLLjYzo4ÕúçDbX,122,244,244,244,164,329,329,329
11,2,and J5ÕvWIguIrOáJpoéaâTâ J5ÕvWIguIrOáJpoéaâTâ,122,244,244,244,164,329,329,329
17,2,and HTlrDilAemÂsÊqE HTlrDilAemÂsÊqE,122,244,244,244,164,329,329,329
10,2,and ãV7JZmpwiJgiYmCêGbnoAGvÇc8M l6n_GciSõáUKfWoq1Oqã,122,244,244,244,164,329,329,329
19,2,and JnIÚIAÛÁ JnIÚIAÛÁ,122,244,244,244,164,329,329,329
13,2,and w3YY1ãVRwÚÛkOeEbcEÚZrN6lUPgir DDtm5ç52H5,122,244,244,244,164,329,329,329
12,2,and CCR1I0upoY2xõzwy78Wx9 2nv2aIêãKJÇpõvrX6VÊák3tfã,122,244,244,244,164,329,329,329
18,2,and êêúUNhájnMÕlH0ç8QUãFtécaYq êêúUNhájnMÕlH0ç8QUãFtécaYq,122,244,244,244,164,329,329,329
20,3,and and okdlÛOgTÂÂ3ogÉúkx ÛáQ3zéE_ ÚBs9iwãêwsáCIláFUÉ5V5WBY6,122,366,366,366,164,494,494,494
24,3,and MFm1ÉKfxY and itHÕõtKkwÛJTÉ6u7Pf6lIoB itHÕõtKkwÛJTÉ6u7Pf6lIoB,122,366,366,366,164,494,494,494
28,3,and and bognhUzPGSZhúúP438QNYQnÕâp dqWÁx7lzHwWÃE8áCQIEc_dûÕÇ ás5c7ãQxâD3uIÂ,122,366,366,366,164,494,494,494
21,3,and fKwivXRKÉu2FMZS0uÁÂÚéT6K and wmÁt5zb23QyÛ9 fKwivXRKÉu2FMZS0uÁÂÚéT6K,122,366,366,366,164,494,494,494
26,3,and and hÃd0ÚmcMNADÃY3srJkT9oQw QÛHÇ5U hÃd0ÚmcMNADÃY3srJkT9oQw,122,366,366,366,164,494,494,494
29,3,and and 4SbRaAHçObÚEubVÛÉlCagjwMo 4XBy1ZJéÛwrÛtW _úh9FsjÊ,122,366,366,366,164,494,494,494
27,3,and and FBÊPéSâuszIlRKcttc14scâz zCiÃ7ÃvHvyEáKã3xÁ09éLÕK8 FBÊPéSâuszIlRKcttc14scâz,122,366,366,366,164,494,494,494
25,3,and and ecÇê0LIuÊÇeLÛ_HCOD6é 3isEÁéVu8T2 3isEÁéVu8T2,122,366,366,366,164,494,494,494
23,3,and ÊTÛo3iskZRaûHwÊmdz5cDgymZâÉ and áy4Háémmûmõ17yhl3 ÁêbHqmuSÊS33,122,366,366,366,164,494,494,494
22,3,and and H_súQLõFvDYGlÚcsÚU9N64nzújêF5 H_súQLõFvDYGlÚcsÚU9N64nzújêF5 hYIÕTIVQhW_G_Éãé2ÃLqjoE,122,366,366,366,164,494,494,494
35,4,and sáDÂçnsmCÚLÇPÃ and ûvPExkéêÃrt88ûFqxZÂ and IÁÇOÊGc6Û_çWÉYéã9EÃçg7J IÁÇOÊGc6Û_çWÉYéã9EÃçg7J,122,488,488,488,164,659,659,659
