run_id,policySize,policy,len_c0,len_c1,len_c2,len_c3,len_c0_encoded,len_c1_encoded,len_c2_encoded,len_c3_encoded
0,1,úÛzFõûPVyÕêG6FQ3x,122,122,122,122,164,164,164,164
2,1,ãÂÁûmÂ6REÚEN,122,122,122,122,164,164,164,164
4,1,owIJR,122,122,122,122,164,164,164,164
9,1,áuXpÊ,122,122,122,122,164,164,164,164
7,1,ÁXQvÉ,122,122,122,122,164,164,164,164
6,1,ÂZÚCGFBz3r2éSi,122,122,122,122,164,164,164,164
5,1,GQûMwBQúl5ã,122,122,122,122,164,164,164,164
3,1,túfRbbHYVT3LXK22éWCI8ÊydsK9i,122,122,122,122,164,164,164,164
8,1,EeÃUÇbrqEÂÛqyÕoãépÛTvnEqYIC,122,122,122,122,164,164,164,164
1,1,CqúHKelÁyYuÇAOy_8bX,122,122,122,122,164,164,164,164
18,2,or AçmçÂamd AçmçÂamd,122,244,244,244,164,329,329,329
15,2,or QÇRãéÊsûúFJUtçb5ÉÚ5oSt0ZLOÕ QÇRãéÊsûúFJUtçb5ÉÚ5oSt0ZLOÕ,122,244,244,244,164,329,329,329
16,2,or YhaHÚIÉ2imSl1pjg õSxfçBjy9jxs,122,244,244,244,164,329,329,329
11,2,or Õ2BVÂ9áuoSáâÛê EéGoz7gÕé6xUzq2c3WJHÕen4,122,244,244,244,164,329,329,329
10,2,or áN1êVBêiêZJzjzW áN1êVBêiêZJzjzW,122,244,244,244,164,329,329,329
19,2,or ÂHsMpÃãfÚéÚÃ62j ÂHsMpÃãfÚéÚÃ62j,122,244,244,244,164,329,329,329
17,2,or cxm4JÁÃáÂFTd 9Hã4o3o,122,244,244,244,164,329,329,329
13,2,or SDXkNdAIASn SDXkNdAIASn,122,244,244,244,164,329,329,329
14,2,or pê2Õu3iVY1xFtazéznH_SdR6mbs pê2Õu3iVY1xFtazéznH_SdR6mbs,122,244,244,244,164,329,329,329
12,2,or ehwÉûI8ZYSD6ÂI2YgPjQrHg ehwÉûI8ZYSD6ÂI2YgPjQrHg,122,244,244,244,164,329,329,329
