run_id,policySize,policy,len_c0,len_c1,len_c2,len_c3,len_c0_encoded,len_c1_encoded,len_c2_encoded,len_c3_encoded
2,1,5ÊÂáçeM,122,122,122,122,164,164,164,164
0,1,_ZwkZMûkVI9gj8grmFs2GFsh,122,122,122,122,164,164,164,164
9,1,êfeTsgVx3pYÊHSÊV,122,122,122,122,164,164,164,164
3,1,úõ3ih0akSUõvÃtK4xivs,122,122,122,122,164,164,164,164
7,1,vQJs_mguwÛmMWyI6ewJZdLÉaE7ÕB,122,122,122,122,164,164,164,164
5,1,OXEKç_ÚeêV,122,122,122,122,164,164,164,164
8,1,rIGbXÉ,122,122,122,122,164,164,164,164
6,1,I1K7õN8dDÕr4,122,122,122,122,164,164,164,164
4,1,Õw6lemIW9Û5_Ê9EByEáMqZçd260C,122,122,122,122,164,164,164,164
1,1,ÊU1ÊâTLyyûD8fnÁáBLmJ3uHHÛvBÚ_,122,122,122,122,164,164,164,164
19,2,or xNV8ÊQ xNV8ÊQ,122,244,244,244,164,329,329,329
13,2,or SgU_oÇeÂu1ÊVÁâécú87 SgU_oÇeÂu1ÊVÁâécú87,122,244,244,244,164,329,329,329
12,2,and j9bdFEamâ1õÛ j9bdFEamâ1õÛ,122,244,244,244,164,329,329,329
15,2,and 9UçWMd6t4iãoâ02XXfD 9UçWMd6t4iãoâ02XXfD,122,244,244,244,164,329,329,329
18,2,or gSá5õTéGéIDta_JÂémccKfÛêleY gSá5õTéGéIDta_JÂémccKfÛêleY,122,244,244,244,164,329,329,329
11,2,and mZIUdâiûXCÕxplhKjaSXmçázÇ mZIUdâiûXCÕxplhKjaSXmçázÇ,122,244,244,244,164,329,329,329
10,2,or áfH8ÉJa9Qâncãw1X áfH8ÉJa9Qâncãw1X,122,244,244,244,164,329,329,329
16,2,or ll6UG iYsõiPé78pWç36áÚé,122,244,244,244,164,329,329,329
14,2,or DÛãpÂ0ãlÃaSYÇlY64O1v6v g_Y74jYdwúAÃDâsPldÂqlÂpp1bYl,122,244,244,244,164,329,329,329
17,2,and qÁ8SvÂLéKp qÁ8SvÂLéKp,122,244,244,244,164,329,329,329
21,3,and Úúé46NtORãk_sWãwGk and Úúé46NtORãk_sWãwGk Úúé46NtORãk_sWãwGk,122,366,366,366,164,494,494,494
25,3,and CWhtbPJõÕJkye90oÕ1cC8 and _g1x6ãb z_iLçZobQvÁ9áhjBy7ã,122,366,366,366,164,494,494,494
28,3,and áTavs1PaTHmááC0RW0Pú5ãt0ãMçB or LR5FX6cb8JjEéáSwnNri LR5FX6cb8JjEéáSwnNri,122,366,366,366,164,494,494,494
23,3,and or 9ãCárçCÃáõAéNPuXpêúzYÕ XWZáOpÊéh6é69báQQeÕJCÊ3g V6JÊQGTÚY,122,366,366,366,164,494,494,494
