run,autoridade,atributo,tamanho eg1g1ai,tamanho g1yi
34,uBá6QqTqv1Kã3yFywi8vz,ãQlT6ûe,124,124
370,hâG7TjçAX6McFÕdZvybfDlaPjá,0wÉõM6lvâuYKduÉfvÇegkFJ,124,124
135,vkV4Bt722,S0rN3JTÁÃeõ,124,124
488,Ã9U2j3E,bqçmuõmÚtúHHVÃ4NugIhLtfRHeã2x,124,124
4,ÕÇ2f930,Hálr5u3ÚúOXa1o,124,124
35,ZRZdYÃzÉGÊJÇÇBLê7,CõqyÊÁvf6wV,124,124
371,BOxYPWBpL05ÛúUrKLeqg,VÁbOûweç6CXy55ûjVÂyS8,124,124
136,kca51,húÚáU8ãLÇêMkfpyqâzawIOGLTOlDu,124,124
489,kbaGt2éUu8úeD0Y,sÁFnáéwúçgL,124,124
36,t4XûÃÇhZF_ÕlÚLâ6A,RIútzNjÊmSTfjnêuH6xÕMA9y,124,124
372,UJgÁy8õDÂRUUlÊÂOãkFA,UÚTõPDGXlÇMfrJûCZSpITéi,124,124
137,zjGÚ5AâÇ8záâEHRERõ2rÚD,XfoÂpScûéÕs3êPu1DttV_PFYO4BW,124,124
490,ÕUFVêA_0soBUBêhHK0lá,ÚçowWCnkcúfhVcY5lhEKÊyXs,124,124
37,oGztuÇNr,DbC2X1ÚDNãYU1idCÃzIvxku8é,124,124
373,ÕvÁaûsrjDUãWeÃûgÊÁDbm,ÉzúÚÂÊ,124,124
138,2yÕFDjYbúwUÊ,ánÁCKR8P3ÂtXAgãD,124,124
491,tfÕSVâwy70QêzfodT,SEpICÕDJAjPLMÛYFxpd02,124,124
38,maw2hQ,qÃ5oTõbp4éÂJûX,124,124
374,Õ_lTz9ÁáI6IANGROÃt1zFn2oÉOxeZh,ktdÇajSÁR91lk,124,124
139,GKZúÛg_4GÁvS,ckâyÊÊXcm,124,124
5,CWIÉÃUgZPéIÉ,9ÕZÛ2eJLûÛZAOsvixb,124,124
492,BûpcQS5çsJAkúNZçzpt,ÃUn1VfIexeltõ,124,124
39,hoÂõodtM7Ecpq1hÕrÁÂjÛRLM,hSiZEGZsBç404êpC6_6THbÛ5y3,124,124
375,hqYCSGH0ODõéDpçOY3,êZJF0lzÉcqgû17tR9xâNIkãtp,124,124
140,PxFpR6mE8RaKBicfbTuwiL8PjPmú,k9WtDféw2npxzCÃO1PÕCBt0iEzF,124,124
493,ÊUje5aAÊfBzÚÚyÊ6H8_n0s8armÉa,4tDcAeênRûúcúeXÉxÂFAÚWékÛ,124,124
6,ây87eRzÛZÂO5NCDçdêYGbxt,Kxxâ4oÇgjmÂãGÛk,124,124
40,IuaéAStdhÂDã7BbCndP7GbpY,vwÁj5pXdkCÕGBR9FAg_U,124,124
376,0Tp0Qto,ÚGÁ8jxék7NOÂúhJaMDnX,124,124
141,hWujBDÉÉÇúPsu6QÕ8Jd6C,8ZPÂHLaÁgMqÊÂÂT28E7u,124,124
